lowercase_lemma,count,type,subtypes,DBpedia_URL,Wikipage,min_relevance,max_relevance,median_relevance,avg_relevance,stdev_relevance,sentiment_labels,min_sentiment_score,max_sentiment_score,median_sentiment_score,avg_sentiment_score,stdev_sentiment_score,min_emotion_sadness,max_emotion_sadness,median_emotion_sadness,avg_emotion_sadness,stdev_emotion_sadness,min_emotion_fear,max_emotion_fear,median_emotion_fear,avg_emotion_fear,stdev_emotion_fear,min_emotion_joy,max_emotion_joy,median_emotion_joy,avg_emotion_joy,stdev_emotion_joy,min_emotion_anger,max_emotion_anger,median_emotion_anger,avg_emotion_anger,stdev_emotion_anger,min_emotion_disgust,max_emotion_disgust,median_emotion_disgust,avg_emotion_disgust,stdev_emotion_disgust
afd,1,['Organization'],['PoliticalParty'],['http://dbpedia.org/resource/Alliance_for_Freedom_and_Democracy'],['http://en.wikipedia.org/wiki/Alliance_for_Freedom_and_Democracy'],0.303671,0.303671,0.303671,0.303671,,['positive'],0.471925,0.471925,0.471925,0.471925,,0.661503,0.661503,0.661503,0.661503,,0.07482799999999999,0.07482799999999999,0.07482799999999999,0.07482799999999999,,0.201657,0.201657,0.201657,0.201657,,0.111666,0.111666,0.111666,0.111666,,0.06652899999999999,0.06652899999999999,0.06652899999999999,,
affair,1,['Organization'],['NONE'],['NONE'],['NONE'],0.284582,0.284582,0.284582,0.284582,,['negative'],-0.335332,-0.335332,-0.335332,-0.335332,,0.12566300000000002,0.12566300000000002,0.12566300000000002,0.12566300000000002,,0.302695,0.302695,0.302695,0.302695,,0.278174,0.278174,0.278174,0.278174,,0.199492,0.199492,0.199492,0.199492,,0.072144,0.072144,0.072144,,
africa,1,['Location'],['Continent'],['http://dbpedia.org/resource/Africa'],['http://en.wikipedia.org/wiki/Africa'],0.27381700000000003,0.27381700000000003,0.27381700000000003,0.27381700000000003,,['negative'],-0.460059,-0.460059,-0.460059,-0.460059,,0.41802799999999996,0.41802799999999996,0.41802799999999996,0.41802799999999996,,0.27736500000000003,0.27736500000000003,0.27736500000000003,0.27736500000000003,,0.028816,0.028816,0.028816,0.028816,,0.128655,0.128655,0.128655,0.128655,,0.438316,0.438316,0.438316,,
ain school,1,['Organization'],['NONE'],['NONE'],['NONE'],0.560419,0.560419,0.560419,0.560419,,['neutral'],0.0,0.0,0.0,0.0,,0.125751,0.125751,0.125751,0.125751,,0.268658,0.268658,0.268658,0.268658,,0.345346,0.345346,0.345346,0.345346,,0.165908,0.165908,0.165908,0.165908,,0.050828,0.050828,0.050828,,
aj plus,1,['Company'],['NONE'],['NONE'],['NONE'],0.299925,0.299925,0.299925,0.299925,,['neutral'],0.0,0.0,0.0,0.0,,0.547083,0.547083,0.547083,0.547083,,0.07229,0.07229,0.07229,0.07229,,0.251367,0.251367,0.251367,0.251367,,0.067347,0.067347,0.067347,0.067347,,0.08447400000000001,0.08447400000000001,0.08447400000000001,,
akiko suzuki,1,['Person'],['Athlete'],['http://dbpedia.org/resource/Akiko_Suzuki'],['http://en.wikipedia.org/wiki/Akiko_Suzuki'],0.364188,0.364188,0.364188,0.364188,,['positive'],0.343369,0.343369,0.343369,0.343369,,0.141719,0.141719,0.141719,0.141719,,0.08519,0.08519,0.08519,0.08519,,0.191139,0.191139,0.191139,0.191139,,0.091797,0.091797,0.091797,0.091797,,0.07810800000000001,0.07810800000000001,0.07810800000000001,,
akira,1,['Person'],['NONE'],['NONE'],['NONE'],0.566285,0.566285,0.566285,0.566285,,['neutral'],0.0,0.0,0.0,0.0,,0.13717200000000002,0.13717200000000002,0.13717200000000002,0.13717200000000002,,0.081496,0.081496,0.081496,0.081496,,0.190081,0.190081,0.190081,0.190081,,0.083901,0.083901,0.083901,0.083901,,0.077544,0.077544,0.077544,,
al,2,['Location' 'Person'],['StateOrCounty' 'NONE'],['NONE'],['NONE'],0.394431,0.437392,0.4159115,0.4159115,0.030378014426555286,['neutral'],0.0,0.0,0.0,0.0,0.0,0.054891999999999996,0.060408,0.05765,0.05765,0.003900401005025001,0.052175,0.082083,0.067129,0.067129,0.021148149611727268,0.321284,0.50747,0.414377,0.414377,0.1316533831619985,0.068954,0.14534,0.10714699999999999,0.10714699999999999,0.054013058587715615,0.10139,0.18082,0.141105,,0.056165491629647485
al jazeera barcelona spain,2,['Location'],['City'],['NONE'],['NONE'],0.540185,0.680509,0.610347,0.610347,0.0992240519632211,['neutral'],0.0,0.0,0.0,0.0,0.0,0.042162,0.054996,0.048579,0.048579,0.009075008429748154,0.066812,0.117841,0.0923265,0.0923265,0.03608295193716834,0.254483,0.580183,0.417333,0.417333,0.23030467863245851,0.080308,0.21833200000000005,0.14932000000000004,0.14932000000000004,0.09759770636649207,0.082165,0.152059,0.117112,,0.04942252136425255
alabama,1,['Location'],"['PoliticalDistrict, AdministrativeDivision, GovernmentalJurisdiction, USState, StateOrCounty']",['http://dbpedia.org/resource/Alabama'],['http://en.wikipedia.org/wiki/Alabama'],0.5054770000000001,0.5054770000000001,0.5054770000000001,0.5054770000000001,,['negative'],-0.8689549999999999,-0.8689549999999999,-0.8689549999999999,-0.8689549999999999,,0.26098299999999997,0.26098299999999997,0.26098299999999997,0.26098299999999997,,0.06189400000000001,0.06189400000000001,0.06189400000000001,0.06189400000000001,,0.138959,0.138959,0.138959,0.138959,,0.363242,0.363242,0.363242,0.363242,,0.150198,0.150198,0.150198,,
alameda,1,['Location'],['City'],"['http://dbpedia.org/resource/Alameda,_Spain']","['http://en.wikipedia.org/wiki/Alameda,_Spain']",0.326414,0.326414,0.326414,0.326414,,['neutral'],0.0,0.0,0.0,0.0,,0.152544,0.152544,0.152544,0.152544,,0.055025,0.055025,0.055025,0.055025,,0.18726900000000002,0.18726900000000002,0.18726900000000002,0.18726900000000002,,0.062544,0.062544,0.062544,0.062544,,0.054640999999999995,0.054640999999999995,0.054640999999999995,,
alan kay,1,['Person'],"['MusicalArtist, Academic, AwardWinner, CompanyAdvisor, CompanyFounder, ComputerScientist, MusicalGroupMember, ProgrammingLanguageDesigner, Scientist, SoftwareDeveloper']",['http://dbpedia.org/resource/Alan_Kay'],['http://en.wikipedia.org/wiki/Alan_Kay'],0.19204300000000002,0.19204300000000002,0.19204300000000002,0.19204300000000002,,['positive'],0.509367,0.509367,0.509367,0.509367,,0.361169,0.361169,0.361169,0.361169,,0.084904,0.084904,0.084904,0.084904,,0.319883,0.319883,0.319883,0.319883,,0.07535399999999999,0.07535399999999999,0.07535399999999999,0.07535399999999999,,0.082583,0.082583,0.082583,,
alana,1,['Person'],['NONE'],['NONE'],['NONE'],0.466315,0.466315,0.466315,0.466315,,['neutral'],0.0,0.0,0.0,0.0,,0.19162300000000002,0.19162300000000002,0.19162300000000002,0.19162300000000002,,0.47251000000000004,0.47251000000000004,0.47251000000000004,0.47251000000000004,,0.323035,0.323035,0.323035,0.323035,,0.056491999999999994,0.056491999999999994,0.056491999999999994,0.056491999999999994,,0.115542,0.115542,0.115542,,
alana henry,2,['Person'],['NONE'],['NONE'],['NONE'],0.39917800000000003,0.412703,0.40594050000000004,0.40594050000000004,0.009563619215548023,['neutral'],0.0,0.0,0.0,0.0,0.0,0.129356,0.129356,0.129356,0.129356,0.0,0.034803,0.034803,0.034803,0.034803,0.0,0.086324,0.086324,0.086324,0.086324,0.0,0.09277,0.09277,0.09277,0.09277,0.0,0.196077,0.196077,0.196077,,0.0
alanis,1,['Person'],['NONE'],['NONE'],['NONE'],0.223852,0.223852,0.223852,0.223852,,['negative'],-0.503822,-0.503822,-0.503822,-0.503822,,0.460747,0.460747,0.460747,0.460747,,0.1845,0.1845,0.1845,0.1845,,0.283521,0.283521,0.283521,0.283521,,0.094814,0.094814,0.094814,0.094814,,0.098855,0.098855,0.098855,,
alba,1,['Person'],['NONE'],['NONE'],['NONE'],0.28291700000000003,0.28291700000000003,0.28291700000000003,0.28291700000000003,,['neutral'],0.0,0.0,0.0,0.0,,0.141036,0.141036,0.141036,0.141036,,0.08419299999999999,0.08419299999999999,0.08419299999999999,0.08419299999999999,,0.316035,0.316035,0.316035,0.316035,,0.064335,0.064335,0.064335,0.064335,,0.063973,0.063973,0.063973,,
albert boyd,1,['Person'],['MilitaryPerson'],['http://dbpedia.org/resource/Albert_Boyd'],['http://en.wikipedia.org/wiki/Albert_Boyd'],0.240471,0.240471,0.240471,0.240471,,['neutral'],0.0,0.0,0.0,0.0,,0.0621,0.0621,0.0621,0.0621,,0.016111,0.016111,0.016111,0.016111,,0.42214799999999997,0.42214799999999997,0.42214799999999997,0.42214799999999997,,0.285179,0.285179,0.285179,0.285179,,0.117495,0.117495,0.117495,,
albert riviera,1,['Person'],['NONE'],['NONE'],['NONE'],0.256353,0.256353,0.256353,0.256353,,['neutral'],0.0,0.0,0.0,0.0,,0.065875,0.065875,0.065875,0.065875,,0.032616,0.032616,0.032616,0.032616,,0.701802,0.701802,0.701802,0.701802,,0.16705599999999998,0.16705599999999998,0.16705599999999998,0.16705599999999998,,0.07989199999999999,0.07989199999999999,0.07989199999999999,,
alesia,1,['Person'],['NONE'],['NONE'],['NONE'],0.22532,0.22532,0.22532,0.22532,,['neutral'],0.0,0.0,0.0,0.0,,0.265312,0.265312,0.265312,0.265312,,0.082483,0.082483,0.082483,0.082483,,0.19761199999999998,0.19761199999999998,0.19761199999999998,0.19761199999999998,,0.025447,0.025447,0.025447,0.025447,,0.107522,0.107522,0.107522,,
alex castellanos,1,['Person'],['NONE'],['NONE'],['NONE'],0.509763,0.509763,0.509763,0.509763,,['neutral'],0.0,0.0,0.0,0.0,,0.20988400000000001,0.20988400000000001,0.20988400000000001,0.20988400000000001,,0.43247299999999994,0.43247299999999994,0.43247299999999994,0.43247299999999994,,0.072795,0.072795,0.072795,0.072795,,0.184201,0.184201,0.184201,0.184201,,0.37873,0.37873,0.37873,,
alex salmond,1,['Person'],"['Politician, OfficeHolder, TVActor']",['http://dbpedia.org/resource/Alex_Salmond'],['http://en.wikipedia.org/wiki/Alex_Salmond'],0.241708,0.241708,0.241708,0.241708,,['neutral'],0.0,0.0,0.0,0.0,,0.510538,0.510538,0.510538,0.510538,,0.134155,0.134155,0.134155,0.134155,,0.075559,0.075559,0.075559,0.075559,,0.320191,0.320191,0.320191,0.320191,,0.208169,0.208169,0.208169,,
alfred,2,['Person'],['NONE'],['NONE'],['NONE'],0.347609,0.391918,0.3697635,0.3697635,0.031331194367594725,['neutral' 'negative'],-0.466933,0.0,-0.2334665,-0.2334665,0.3301714906597782,0.10404400000000001,0.261504,0.18277400000000002,0.18277400000000002,0.11134103376563377,0.119948,0.298604,0.209276,0.209276,0.12632886909966382,0.146146,0.369894,0.25802,0.25802,0.15821372807692763,0.091699,0.21421500000000002,0.152957,0.152957,0.08663189440385106,0.051733,0.172908,0.1123205,,0.0856836642102799
alfred bosh,1,['Person'],['NONE'],['NONE'],['NONE'],0.189414,0.189414,0.189414,0.189414,,['neutral'],0.0,0.0,0.0,0.0,,0.254835,0.254835,0.254835,0.254835,,0.06365499999999999,0.06365499999999999,0.06365499999999999,0.06365499999999999,,0.493896,0.493896,0.493896,0.493896,,0.054112,0.054112,0.054112,0.054112,,0.114299,0.114299,0.114299,,
alice,2,['Person'],['NONE'],['NONE'],['NONE'],0.258221,0.9894629999999999,0.6238419999999999,0.6238419999999999,0.5170661768884134,['positive'],0.504138,0.510888,0.507513,0.507513,0.00477297077300922,0.06790700000000001,0.442694,0.2553005,0.2553005,0.26501442920056256,0.028076,0.426374,0.22722499999999998,0.22722499999999998,0.2816392167330395,0.103351,0.31318,0.2082655,0.2082655,0.1483715087895921,0.074991,0.18607,0.1305305,0.1305305,0.07854471414742052,0.099468,0.596456,0.347962,,0.35142358496833986
alina,1,['Person'],['NONE'],['NONE'],['NONE'],0.746346,0.746346,0.746346,0.746346,,['neutral'],0.0,0.0,0.0,0.0,,0.310155,0.310155,0.310155,0.310155,,0.04529,0.04529,0.04529,0.04529,,0.042856,0.042856,0.042856,0.042856,,0.140129,0.140129,0.140129,0.140129,,0.51527,0.51527,0.51527,,
alisoun,1,['Person'],['NONE'],['NONE'],['NONE'],0.47922299999999995,0.47922299999999995,0.47922299999999995,0.47922299999999995,,['neutral'],0.0,0.0,0.0,0.0,,0.596312,0.596312,0.596312,0.596312,,0.095373,0.095373,0.095373,0.095373,,0.044041000000000004,0.044041000000000004,0.044041000000000004,0.044041000000000004,,0.201699,0.201699,0.201699,0.201699,,0.300818,0.300818,0.300818,,
alito,2,['Person'],['NONE'],['NONE'],['NONE'],0.658669,0.779564,0.7191164999999999,0.7191164999999999,0.08548567431154773,['negative'],-0.71944,-0.317322,-0.518381,-0.518381,0.2843403646371721,0.193212,0.632504,0.41285799999999995,0.41285799999999995,0.3106263521210008,0.015478,0.13192,0.073699,0.073699,0.08233692781492398,0.026729000000000003,0.22291,0.1248195,0.1248195,0.13872091543995807,0.29004,0.411976,0.351008,0.351008,0.08622177247076285,0.207418,0.395279,0.3013485,,0.13283778702048601
allen,1,['Person'],['NONE'],['NONE'],['NONE'],0.226556,0.226556,0.226556,0.226556,,['negative'],-0.552511,-0.552511,-0.552511,-0.552511,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
alma,1,['Location'],['City'],['NONE'],['NONE'],0.404389,0.404389,0.404389,0.404389,,['neutral'],0.0,0.0,0.0,0.0,,0.104822,0.104822,0.104822,0.104822,,0.014367,0.014367,0.014367,0.014367,,0.752875,0.752875,0.752875,0.752875,,0.045697,0.045697,0.045697,0.045697,,0.052889,0.052889,0.052889,,
alpha barcelona,1,['Company'],['NONE'],['NONE'],['NONE'],0.6184569999999999,0.6184569999999999,0.6184569999999999,0.6184569999999999,,['neutral'],0.0,0.0,0.0,0.0,,0.11150999999999996,0.11150999999999996,0.11150999999999996,0.11150999999999996,,0.094654,0.094654,0.094654,0.094654,,0.15128,0.15128,0.15128,0.15128,,0.09792100000000001,0.09792100000000001,0.09792100000000001,0.09792100000000001,,0.076602,0.076602,0.076602,,
alphonso,2,['Person'],['NONE'],['NONE'],['NONE'],0.322268,0.323139,0.32270350000000003,0.32270350000000003,0.0006158900064134904,['neutral'],0.0,0.0,0.0,0.0,0.0,0.131859,0.131859,0.131859,0.131859,0.0,0.10806099999999999,0.10806099999999999,0.10806099999999999,0.10806099999999999,0.0,0.18997999999999998,0.18997999999999998,0.18997999999999998,0.18997999999999998,0.0,0.106466,0.106466,0.106466,0.106466,0.0,0.20854099999999998,0.20854099999999998,0.20854099999999998,,0.0
alyssa,1,['Person'],['NONE'],['NONE'],['NONE'],0.181014,0.181014,0.181014,0.181014,,['negative'],-0.367985,-0.367985,-0.367985,-0.367985,,0.298937,0.298937,0.298937,0.298937,,0.164635,0.164635,0.164635,0.164635,,0.12406199999999999,0.12406199999999999,0.12406199999999999,0.12406199999999999,,0.37868,0.37868,0.37868,0.37868,,0.16137,0.16137,0.16137,,
amanda,1,['Person'],['NONE'],['NONE'],['NONE'],0.431637,0.431637,0.431637,0.431637,,['positive'],0.8729399999999999,0.8729399999999999,0.8729399999999999,0.8729399999999999,,0.020952000000000002,0.020952000000000002,0.020952000000000002,0.020952000000000002,,0.037991000000000004,0.037991000000000004,0.037991000000000004,0.037991000000000004,,0.817084,0.817084,0.817084,0.817084,,0.125615,0.125615,0.125615,0.125615,,0.018239,0.018239,0.018239,,
amazon,1,['Company'],['NONE'],['NONE'],['NONE'],0.26615900000000003,0.26615900000000003,0.26615900000000003,0.26615900000000003,,['positive'],0.366652,0.366652,0.366652,0.366652,,0.3845,0.3845,0.3845,0.3845,,0.046407,0.046407,0.046407,0.046407,,0.24111100000000002,0.24111100000000002,0.24111100000000002,0.24111100000000002,,0.077874,0.077874,0.077874,0.077874,,0.12895299999999998,0.12895299999999998,0.12895299999999998,,
amedeo alta,1,['Location'],['City'],['NONE'],['NONE'],0.48806499999999997,0.48806499999999997,0.48806499999999997,0.48806499999999997,,['neutral'],0.0,0.0,0.0,0.0,,0.139017,0.139017,0.139017,0.139017,,0.08825,0.08825,0.08825,0.08825,,0.090061,0.090061,0.090061,0.090061,,0.30553,0.30553,0.30553,0.30553,,0.266388,0.266388,0.266388,,
amelia,1,['Person'],['NONE'],['NONE'],['NONE'],0.643694,0.643694,0.643694,0.643694,,['positive'],0.67645,0.67645,0.67645,0.67645,,0.321296,0.321296,0.321296,0.321296,,0.048932,0.048932,0.048932,0.048932,,0.132136,0.132136,0.132136,0.132136,,0.037824,0.037824,0.037824,0.037824,,0.023259,0.023259,0.023259,,
america,3,['Location'],['Continent'],['NONE'],['NONE'],0.23736100000000002,0.643221,0.554081,0.478221,0.21329941303247885,['positive' 'neutral'],0.0,0.8646219999999999,0.6046239999999999,0.4897486666666666,0.4436102539136503,0.0,0.37647600000000003,0.31803000000000003,0.231502,0.20260519670531654,0.0,0.1641,0.027476,0.06385866666666666,0.08789184447565845,0.0,0.343495,0.033877,0.12579066666666666,0.1892968445229168,0.0,0.149497,0.086999,0.078832,0.07508237588808707,0.0,0.158546,0.157322,,0.09118529118960651
amsterdam,1,['Location'],['City'],['NONE'],['NONE'],0.183023,0.183023,0.183023,0.183023,,['neutral'],0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
amy,1,['Person'],['NONE'],['NONE'],['NONE'],0.849107,0.849107,0.849107,0.849107,,['neutral'],0.0,0.0,0.0,0.0,,0.256048,0.256048,0.256048,0.256048,,0.087991,0.087991,0.087991,0.087991,,0.194475,0.194475,0.194475,0.194475,,0.188927,0.188927,0.188927,0.188927,,0.14740999999999999,0.14740999999999999,0.14740999999999999,,
andre royo,1,['Person'],"['Actor, FilmActor, TVActor']",['http://dbpedia.org/resource/Andre_Royo'],['http://en.wikipedia.org/wiki/Andre_Royo'],0.33,0.33,0.33,0.33,,['neutral'],0.0,0.0,0.0,0.0,,0.141719,0.141719,0.141719,0.141719,,0.08519,0.08519,0.08519,0.08519,,0.191139,0.191139,0.191139,0.191139,,0.091797,0.091797,0.091797,0.091797,,0.07810800000000001,0.07810800000000001,0.07810800000000001,,
andrew league,1,['Person'],['NONE'],['NONE'],['NONE'],0.41525100000000004,0.41525100000000004,0.41525100000000004,0.41525100000000004,,['neutral'],0.0,0.0,0.0,0.0,,0.423267,0.423267,0.423267,0.423267,,0.050082,0.050082,0.050082,0.050082,,0.30128299999999997,0.30128299999999997,0.30128299999999997,0.30128299999999997,,0.104342,0.104342,0.104342,0.104342,,0.143131,0.143131,0.143131,,
andria vasia,1,['Person'],['NONE'],['NONE'],['NONE'],0.227561,0.227561,0.227561,0.227561,,['positive'],0.502588,0.502588,0.502588,0.502588,,0.148831,0.148831,0.148831,0.148831,,0.091248,0.091248,0.091248,0.091248,,0.179551,0.179551,0.179551,0.179551,,0.088473,0.088473,0.088473,0.088473,,0.074744,0.074744,0.074744,,
angela merkel,1,['Person'],"['Politician, AwardWinner, Chancellor']",['http://dbpedia.org/resource/Angela_Merkel'],['http://en.wikipedia.org/wiki/Angela_Merkel'],0.405852,0.405852,0.405852,0.405852,,['neutral'],0.0,0.0,0.0,0.0,,0.163236,0.163236,0.163236,0.163236,,0.09536900000000001,0.09536900000000001,0.09536900000000001,0.09536900000000001,,0.140546,0.140546,0.140546,0.140546,,0.56525,0.56525,0.56525,0.56525,,0.201355,0.201355,0.201355,,
angela sia,1,['Person'],['NONE'],['NONE'],['NONE'],0.26474699999999995,0.26474699999999995,0.26474699999999995,0.26474699999999995,,['negative'],-0.48917700000000003,-0.48917700000000003,-0.48917700000000003,-0.48917700000000003,,0.331683,0.331683,0.331683,0.331683,,0.332863,0.332863,0.332863,0.332863,,0.030437,0.030437,0.030437,0.030437,,0.382375,0.382375,0.382375,0.382375,,0.188476,0.188476,0.188476,,
ankara,1,['Location'],"['AdministrativeDivision, City']",['http://dbpedia.org/resource/Ankara'],['http://en.wikipedia.org/wiki/Ankara'],0.39858899999999997,0.39858899999999997,0.39858899999999997,0.39858899999999997,,['neutral'],0.0,0.0,0.0,0.0,,0.141719,0.141719,0.141719,0.141719,,0.08519,0.08519,0.08519,0.08519,,0.191139,0.191139,0.191139,0.191139,,0.091797,0.091797,0.091797,0.091797,,0.07810800000000001,0.07810800000000001,0.07810800000000001,,
ann catalonian,1,['Person'],['NONE'],['NONE'],['NONE'],0.33766799999999997,0.33766799999999997,0.33766799999999997,0.33766799999999997,,['neutral'],0.0,0.0,0.0,0.0,,0.093554,0.093554,0.093554,0.093554,,0.10973599999999999,0.10973599999999999,0.10973599999999999,0.10973599999999999,,0.399902,0.399902,0.399902,0.399902,,0.175466,0.175466,0.175466,0.175466,,0.324492,0.324492,0.324492,,
anna faris,1,['Person'],"['Actor, AwardNominee, Celebrity, FilmActor, FilmProducer, TVActor']",['http://dbpedia.org/resource/Anna_Faris'],['http://en.wikipedia.org/wiki/Anna_Faris'],0.622031,0.622031,0.622031,0.622031,,['neutral'],0.0,0.0,0.0,0.0,,0.250324,0.250324,0.250324,0.250324,,0.090931,0.090931,0.090931,0.090931,,0.356005,0.356005,0.356005,0.356005,,0.123951,0.123951,0.123951,0.123951,,0.177395,0.177395,0.177395,,
anna rk,1,['Person'],['NONE'],['NONE'],['NONE'],0.529993,0.529993,0.529993,0.529993,,['neutral'],0.0,0.0,0.0,0.0,,0.339803,0.339803,0.339803,0.339803,,0.146068,0.146068,0.146068,0.146068,,0.221255,0.221255,0.221255,0.221255,,0.129046,0.129046,0.129046,0.129046,,0.01192,0.01192,0.01192,,
anthony costello,1,['Person'],['NONE'],['NONE'],['NONE'],0.238984,0.238984,0.238984,0.238984,,['neutral'],0.0,0.0,0.0,0.0,,0.165248,0.165248,0.165248,0.165248,,0.08108,0.08108,0.08108,0.08108,,0.338235,0.338235,0.338235,0.338235,,0.179066,0.179066,0.179066,0.179066,,0.166453,0.166453,0.166453,,
antoni,1,['Person'],['NONE'],['NONE'],['NONE'],0.254635,0.254635,0.254635,0.254635,,['neutral'],0.0,0.0,0.0,0.0,,0.076484,0.076484,0.076484,0.076484,,0.129556,0.129556,0.129556,0.129556,,0.560684,0.560684,0.560684,0.560684,,0.031768,0.031768,0.031768,0.031768,,0.251112,0.251112,0.251112,,
